거래일,거래량(REC),가격(원),대비,등락률
2024-05-02,69302,74800,200,0.27%
2024-05-07,77575,74600,-200,-0.27%
2024-05-09,85133,74800,-100,-0.13%
2024-05-14,154311,74900,0,0.00%
2024-05-16,106096,74900,0,0.00%
2024-05-21,104444,74900,-100,-0.13%
2024-05-23,134276,75000,200,0.27%
2024-05-28,193869,74800,-200,-0.27%
2024-05-30,202850,75000,100,0.13%
2024-06-04,124277,74900,-100,-0.13%
2024-06-11,229452,75000,100,0.13%
2024-06-13,186787,74900,0,0.00%
2024-06-18,230693,74900,-100,-0.13%
2024-06-20,213119,75000,0,0.00%
2024-06-25,158145,75000,100,0.13%
2024-06-27,287589,74900,1100,1.49%
2024-07-02,143725,73800,-1000,-1.34%
2024-07-04,194296,74800,-200,-0.27%
2024-07-09,171308,75000,-500,-0.66%
2024-07-11,148720,75500,400,0.53%
2024-07-16,111832,75100,-500,-0.66%
2024-07-18,179817,75600,-1300,-1.69%
2024-07-23,175754,76900,-1100,-1.41%
2024-07-25,157331,78000,200,0.26%
2024-07-30,267625,77800,-200,-0.26%
2024-08-01,184101,78000,100,0.13%
2024-08-06,211476,77900,-200,-0.26%
2024-08-08,129069,78100,-200,-0.26%
2024-08-13,147358,78300,-700,-0.89%
2024-08-20,241735,79000,-200,-0.25%
2024-08-22,112719,79200,-400,-0.50%
2024-08-27,254865,79600,-200,-0.25%
2024-08-29,239648,79800,700,0.88%
2024-09-03,209568,79100,0,0.00%
2024-09-05,183065,79100,-200,-0.25%
2024-09-10,245362,79300,-100,-0.13%
2024-09-12,218749,79400,0,0.00%
2024-09-19,178814,79400,-400,-0.50%
2024-09-24,303177,79800,900,1.14%
2024-09-26,225353,78900,600,0.77%
2024-10-08,206622,78300,200,0.26%
2024-10-10,154590,78100,1100,1.43%
2024-10-15,135509,77000,900,1.18%
2024-10-17,114621,76100,0,0.00%
2024-10-22,82420,76100,-400,-0.52%
2024-10-24,115357,76500,1600,2.14%
2024-10-29,146815,74900,900,1.22%
2024-10-31,80622,74000,-800,-1.07%
2024-11-05,147509,74800,-400,-0.53%
2024-11-07,102315,75200,300,0.40%
2024-11-12,108358,74900,-400,-0.53%
2024-11-14,84366,75300,-100,-0.13%
2024-11-19,83832,75400,0,0.00%
2024-11-21,86542,75400,200,0.27%
2024-11-26,175262,75200,300,0.40%
2024-11-28,116080,74900,200,0.27%
2024-12-03,126304,74700,2000,2.75%
2024-12-05,90601,72700,5500,8.18%
2024-12-10,69358,67200,300,0.45%
2024-12-12,67084,66900,4800,7.73%
2024-12-17,85729,62100,-900,-1.43%
2024-12-19,143644,63000,-1100,-1.72%
2024-12-24,88632,64100,-2500,-3.75%
2024-12-26,50206,66600,4000,6.39%
2024-12-31,81616,62600,-2400,-3.69%
2025-01-02,63507,65000,-1000,-1.52%
2025-01-07,152359,66000,-2800,-4.07%
2025-01-09,94680,68800,-2000,-2.82%
2025-01-14,117611,70800,-1200,-1.67%
2025-01-16,113797,72000,-900,-1.23%
2025-01-21,144967,72900,-200,-0.27%
2025-01-23,111489,73100,900,1.25%
2025-02-04,201910,72200,300,0.42%
2025-02-06,153601,71900,-200,-0.28%
2025-02-11,168680,72100,-100,-0.14%
2025-02-13,151305,72200,0,0.00%
2025-02-18,166184,72200,0,0.00%
2025-02-20,147915,72200,100,0.14%
2025-02-25,155024,72100,2100,3.00%
2025-02-27,106702,70000,-400,-0.57%
2025-03-04,175310,70400,-900,-1.26%
2025-03-06,167115,71300,-700,-0.97%
2025-03-11,203635,72000,-600,-0.83%
2025-03-13,182640,72600,0,0.00%
2025-03-18,202342,72600,-300,-0.41%
2025-03-20,182892,72900,-100,-0.14%
2025-03-25,157189,73000,2000,2.82%
2025-03-27,246264,71000,,
